Contaminant Level (ppm),Population Density (people per km²),Access to Clean Water (% of Population),pH Level,Turbidity (NTU),Rainfall (mm per year),Healthcare Access Index (0-100),Region,Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Temperature (°C),GDP per Capita (USD),Country,Sanitation Coverage (% of Population),Bacteria Count (CFU/mL),"Diarrheal Cases per 100,000 people"
7.01,287,98.6,7.9,1.73,2295,16.75,West,8.55,14.6,17.24,17761,China,62.58,1470,457
7.27,503,82.74,6.15,1.86,290,83.78,East,6.05,31.54,36.42,82551,Mexico,54.42,3079,201
9.43,739,37.38,6.05,3.05,1868,27.45,Central,3.92,0.23,21.57,38435,Nigeria,76.33,3852,388
8.32,636,89.66,8.43,1.37,895,4.49,South,5.38,30.22,33.09,81950,Pakistan,51.61,2838,156
6.23,173,40.35,6.48,3.49,2323,45.21,West,6.6,22.35,26.89,93264,Mexico,91.43,542,99
6.66,294,78.45,8.06,0.76,462,99.98,South,8.96,26.51,17.88,1492,India,59.23,413,395
2.14,973,65.03,7.4,0.54,600,81.31,West,7.49,27.2,13.51,39040,Brazil,62.88,681,121
6.57,232,79.54,6.66,2.67,1457,57.03,East,4.23,8.85,4.68,89818,Pakistan,59.47,641,405
4.25,607,83.55,6.32,2.78,1200,18.94,East,4.11,38.5,0.54,26835,India,69.81,3978,314
1.53,710,86.26,7.24,0.53,415,11.75,East,5.89,27.77,0.06,68632,Ethiopia,60.83,1432,109
8.06,386,88.45,7.02,4.82,2194,83.86,East,3.53,13.51,9.04,93711,Pakistan,94.99,668,166
5.1,62,89.31,7.75,2.87,1568,78.77,North,8.29,46.87,22.44,3449,Ethiopia,30.49,2069,129
9.77,337,58.88,8.26,0.76,1397,46.22,North,5.81,0.64,39.02,22225,Nigeria,21.07,968,269
2.82,350,92.25,8.01,1.56,2284,42.14,Central,5.4,36.3,28.21,30571,India,61.74,1180,137
4.81,536,80.37,6.69,4.0,1102,74.87,South,6.56,19.06,2.83,25977,Brazil,81.17,4819,175
4.48,648,88.73,8.2,2.62,1752,53.6,West,7.96,26.13,25.81,53136,Mexico,71.86,3235,63
1.21,697,99.24,8.08,0.94,2032,40.42,West,6.99,14.58,19.42,71626,Indonesia,97.02,251,130
4.26,127,38.15,8.32,0.51,2567,25.17,North,8.62,16.06,25.45,40505,China,34.58,4300,327
2.88,191,55.94,7.15,2.15,2074,12.26,West,7.41,0.76,24.93,78665,USA,75.52,2879,187
1.6,589,86.46,7.92,1.69,2716,59.48,North,8.52,36.49,5.76,66101,Brazil,85.27,3998,464
2.82,499,36.04,7.48,3.28,2292,82.6,Central,7.88,35.54,36.78,13394,India,92.97,790,451
2.33,515,67.85,6.78,4.63,1077,74.62,South,4.35,32.72,22.18,69800,Indonesia,62.28,4560,276
7.34,334,90.09,8.49,1.24,1103,69.63,Central,3.37,43.9,28.03,19677,Brazil,49.05,1495,349
0.31,877,31.33,6.1,4.28,2101,92.89,East,9.32,45.06,15.48,5977,India,96.43,4489,146
6.17,713,95.77,6.41,4.6,1332,39.45,East,9.62,27.82,4.89,78681,Bangladesh,83.32,3068,334
7.61,203,98.47,8.23,4.51,546,13.72,East,8.09,34.24,27.64,67451,Bangladesh,57.67,2707,19
4.81,187,52.56,6.15,4.76,1361,10.19,Central,8.07,0.55,37.7,63149,Ethiopia,72.09,2577,313
9.32,977,83.68,8.22,4.21,1161,95.5,West,4.89,42.32,23.25,38692,Brazil,42.29,1235,41
7.08,568,38.9,7.79,2.97,2574,58.9,South,6.8,40.82,7.95,6707,Bangladesh,69.19,1058,349
7.48,973,84.1,6.09,2.05,2761,81.08,East,9.95,1.01,24.93,8869,India,63.2,1170,393
1.97,918,63.71,7.07,2.46,2327,53.56,East,8.99,27.14,17.16,82654,Ethiopia,23.14,3618,406
7.77,663,90.22,7.89,4.36,1341,39.85,East,5.13,45.33,15.96,66797,India,89.26,3659,343
8.32,18,44.88,7.46,1.51,2509,20.03,South,5.11,9.07,36.54,87826,Ethiopia,59.22,3655,139
3.61,421,77.09,8.34,0.8,1303,85.64,East,6.39,17.63,29.48,1782,Brazil,58.38,56,8
2.13,943,85.03,8.17,0.7,800,6.35,South,5.83,16.55,20.35,81862,Indonesia,42.67,1892,78
3.85,533,44.17,6.83,4.13,756,90.02,East,5.6,17.8,16.7,18147,Mexico,35.71,2569,412
7.4,613,87.28,6.21,3.81,2513,20.5,Central,7.39,2.09,9.72,94186,Pakistan,43.31,4080,337
4.18,22,97.06,8.36,2.49,955,0.95,Central,3.08,13.95,13.74,88123,Indonesia,72.0,4456,147
7.37,286,73.13,7.29,1.37,592,10.39,South,8.34,14.74,21.62,36881,Nigeria,27.81,1948,192
1.14,448,84.94,6.19,3.39,2249,88.35,Central,8.18,43.29,1.93,37714,India,46.63,222,258
8.06,47,67.28,8.04,0.19,2012,7.37,South,8.81,17.61,14.3,89529,Nigeria,98.3,1639,135
2.53,829,71.87,8.17,2.84,2743,35.52,Central,8.89,22.36,19.76,69419,Indonesia,41.72,4422,38
2.49,803,30.93,7.6,1.99,2985,25.03,Central,6.96,19.04,24.33,85429,Ethiopia,97.33,1757,319
5.9,994,66.7,7.12,4.89,2993,3.69,South,8.46,6.03,29.72,51274,Pakistan,28.38,835,286
0.7,799,70.29,7.66,2.54,832,53.15,West,6.45,49.52,0.55,27954,Pakistan,83.52,2536,366
0.26,444,76.9,7.77,2.76,1179,99.83,Central,9.66,41.29,11.79,529,USA,55.18,2525,455
2.61,765,41.86,8.23,3.56,734,85.3,East,4.33,27.05,10.44,49960,Pakistan,35.59,984,462
5.38,253,46.9,8.39,2.42,2668,16.89,West,9.41,23.82,20.85,75737,Mexico,82.99,1357,378
9.08,849,82.92,7.29,1.12,1971,88.43,South,4.81,32.46,18.64,84513,Pakistan,20.56,4887,149
8.46,558,41.73,8.0,2.69,1771,45.18,West,3.72,16.32,3.2,53082,Indonesia,47.77,3060,351
4.9,753,59.12,8.41,4.72,725,27.33,North,6.07,2.51,30.45,83194,USA,68.39,4477,4
0.37,182,47.53,6.38,2.05,2718,64.03,North,7.3,20.22,27.49,84018,Indonesia,38.48,1446,235
5.35,260,68.16,6.05,3.4,1750,21.67,Central,4.62,49.2,32.85,75682,Indonesia,46.6,1371,235
7.05,641,99.08,8.17,4.89,956,87.97,Central,6.89,9.12,4.44,35871,China,27.32,3224,313
3.39,351,89.64,6.49,4.15,490,62.42,East,8.66,26.39,20.25,2980,USA,88.26,1874,456
1.11,854,48.86,6.11,3.3,1910,13.6,West,4.8,0.43,24.15,9538,Indonesia,53.77,2499,104
2.79,942,55.8,6.4,3.68,1515,57.06,North,7.06,6.1,1.96,25282,China,31.62,3361,206
7.72,23,94.3,6.96,4.68,2006,51.04,Central,5.38,29.36,38.38,63944,China,35.93,1142,238
3.51,283,92.88,6.55,4.8,2880,47.15,West,6.71,14.87,31.78,60337,USA,42.01,4309,318
8.12,362,41.24,6.76,4.84,2201,36.5,Central,7.67,45.28,9.75,85550,Nigeria,38.36,564,316
3.2,144,88.05,8.44,3.13,1921,47.42,Central,5.45,20.31,25.15,9921,Ethiopia,60.26,4827,51
1.64,979,50.83,7.76,1.92,692,58.6,North,9.96,10.4,5.74,49598,Mexico,92.42,4534,107
4.36,709,68.07,7.78,0.67,1638,73.36,North,6.95,27.28,34.93,88894,Ethiopia,34.71,1588,356
4.52,451,30.36,6.24,1.93,1067,91.79,Central,8.77,39.75,3.93,87111,Pakistan,56.28,3985,32
0.16,999,99.9,7.83,4.71,1972,4.44,South,8.08,0.97,36.16,23552,Mexico,73.11,4724,21
1.17,388,83.28,7.85,4.45,2065,56.93,Central,8.97,25.28,33.11,68832,Pakistan,34.7,4998,306
1.85,576,46.92,7.65,2.62,661,75.2,Central,4.22,38.67,19.13,34395,Indonesia,32.32,1470,10
1.14,811,77.87,6.57,2.69,695,11.56,East,4.56,5.18,26.1,72538,India,32.43,3914,126
3.42,136,50.53,7.06,1.54,225,91.15,East,6.41,45.14,9.83,46110,USA,90.56,3113,441
9.65,310,36.26,8.12,2.27,965,24.5,East,8.97,13.23,15.37,1787,Mexico,76.9,4490,49
5.09,780,59.77,7.68,3.57,2277,83.33,South,4.38,8.53,8.7,87270,Mexico,46.91,4342,197
6.28,945,72.96,7.83,2.01,2643,66.2,South,9.8,29.46,21.1,25624,Indonesia,92.2,3362,16
3.56,853,36.28,7.47,0.94,2022,55.95,Central,3.89,8.75,12.75,20829,Nigeria,96.28,1636,429
3.23,621,66.29,7.12,2.7,1332,86.92,East,4.23,33.99,14.06,37197,China,51.86,2912,43
0.23,830,66.04,7.9,1.13,2102,96.92,South,4.17,24.51,17.71,59117,Indonesia,60.84,1472,184
5.0,168,74.01,6.17,4.87,1049,99.71,North,7.1,5.5,34.9,63083,Bangladesh,48.65,1244,388
4.84,544,47.13,7.68,1.95,533,68.33,Central,9.42,45.62,21.94,25882,China,38.2,3737,38
1.58,209,31.44,8.49,4.55,1627,33.91,West,4.79,33.66,32.26,67963,USA,82.4,2098,441
7.64,74,52.74,7.95,1.13,1665,87.47,Central,6.87,27.3,33.94,93745,China,71.93,2597,495
4.93,704,57.9,6.73,0.95,1454,65.43,West,4.23,18.72,9.82,30405,Nigeria,49.35,2512,136
3.39,748,74.5,6.69,3.08,2395,32.33,East,7.42,6.74,31.11,90394,China,21.15,4514,476
1.47,632,95.11,7.67,3.9,771,93.24,West,3.86,35.38,25.95,20865,USA,81.09,258,278
5.52,88,44.24,8.24,2.83,1001,74.77,East,6.44,40.68,20.3,18629,Nigeria,58.19,2358,430
7.53,766,78.11,7.44,1.15,1388,45.28,North,7.59,6.29,3.55,29484,Ethiopia,25.85,3393,163
2.82,101,36.82,7.32,0.19,394,45.45,West,7.05,24.73,22.89,46858,Mexico,29.96,3778,30
2.19,149,43.34,6.4,3.09,682,99.59,Central,3.98,24.24,6.22,78711,Mexico,70.27,3411,339
5.22,10,65.64,7.79,0.66,326,37.37,East,4.13,17.5,32.65,24990,Pakistan,63.71,1268,22
1.55,276,79.59,7.76,1.72,424,9.41,Central,7.7,39.47,37.38,55934,Ethiopia,39.24,939,439
6.67,60,90.1,8.42,3.38,2811,53.86,South,8.66,4.98,19.12,6471,Ethiopia,31.19,2376,198
6.05,238,82.07,6.75,0.49,755,88.49,East,9.36,10.25,17.62,18950,China,90.78,3951,173
0.87,378,31.07,7.89,0.64,1821,58.45,West,8.7,0.08,19.55,15156,Mexico,30.79,195,57
0.37,459,77.88,7.09,0.31,354,79.31,East,9.82,18.65,2.69,41554,USA,26.85,4157,419
6.2,566,87.73,7.4,4.98,2285,5.49,Central,5.86,14.56,9.48,98933,Brazil,69.6,3096,195
2.94,108,66.79,8.04,1.94,803,67.34,North,5.32,43.35,37.62,7772,Brazil,40.2,3635,87
0.86,502,97.59,6.55,4.53,2260,7.92,East,3.2,37.29,13.8,40356,Nigeria,72.53,561,443
7.59,81,30.3,6.86,1.47,2596,55.64,West,6.15,4.22,23.65,69304,Mexico,59.13,3449,141
3.14,808,87.31,7.93,3.77,2652,49.78,South,7.56,37.05,25.97,27029,Mexico,36.9,3366,280
4.6,606,53.44,7.43,1.1,1009,94.56,North,8.71,33.77,35.09,34254,Brazil,25.57,3123,454
2.37,190,75.53,6.23,2.49,424,13.25,South,4.87,14.09,9.53,36378,Mexico,25.65,2891,206
6.27,950,78.54,7.08,4.12,503,0.95,East,6.6,0.77,35.61,20456,China,66.87,39,171
3.01,844,51.44,7.47,4.08,419,13.74,Central,7.63,5.76,15.67,58660,Bangladesh,80.66,1767,301
9.68,738,99.68,8.27,3.97,2325,17.07,Central,6.86,12.5,36.87,24182,India,75.17,2504,396
7.03,818,37.23,6.47,4.12,2225,25.09,West,4.92,40.83,16.45,96909,Ethiopia,67.43,787,317
1.37,165,40.99,8.01,1.06,477,81.51,Central,8.57,23.27,4.16,35868,Pakistan,36.87,1876,274
4.17,967,92.45,6.33,2.41,2220,37.69,North,4.21,45.92,2.08,48948,Nigeria,88.94,4097,395
3.85,869,38.34,6.61,2.42,2217,84.08,Central,9.33,39.46,38.69,35437,Bangladesh,70.31,1492,367
5.34,907,56.69,6.61,4.45,728,27.19,West,9.67,14.36,4.85,18663,Brazil,75.54,1129,345
8.42,849,81.32,8.19,1.48,1320,86.05,East,5.56,42.27,21.65,17640,Ethiopia,37.91,2263,47
5.83,586,85.4,6.5,4.66,680,0.81,East,5.63,5.84,21.08,34435,Mexico,40.92,4872,160
0.62,926,96.83,7.97,2.25,878,93.45,Central,8.2,1.81,16.05,24237,Pakistan,92.6,4509,462
6.55,664,85.27,7.15,3.35,1294,74.6,South,6.19,30.43,16.72,35862,Mexico,58.09,4021,164
0.08,960,89.12,8.5,1.34,2182,41.27,East,3.2,17.09,19.03,87750,USA,64.31,4305,389
7.8,401,96.46,8.1,2.05,2976,57.73,Central,9.44,16.47,3.98,3604,USA,28.86,2185,378
6.67,369,68.76,7.85,3.55,2999,93.3,West,6.02,34.36,31.64,33673,Pakistan,51.57,1644,216
3.09,351,54.04,8.18,2.56,1914,58.26,Central,4.42,42.51,15.08,2911,Pakistan,90.96,3560,116
2.92,752,83.31,7.59,4.65,1381,22.86,East,6.89,16.11,9.78,28103,Brazil,92.01,2685,336
7.98,29,41.45,8.11,3.69,752,57.29,West,4.53,16.25,12.73,98483,Pakistan,78.41,4821,426
7.83,342,34.78,6.65,2.82,2297,87.14,Central,4.44,26.69,24.47,61931,China,63.65,1412,250
3.52,201,84.97,6.24,4.43,2019,98.74,North,6.82,32.66,31.0,90774,Mexico,94.47,1221,355
2.99,355,96.55,7.54,3.33,2649,58.41,West,5.74,10.15,6.14,77039,Bangladesh,89.75,2249,433
5.6,304,60.97,7.09,3.24,1922,15.56,North,7.01,45.63,23.7,13338,Indonesia,87.71,2239,243
0.08,144,41.28,7.07,1.23,2313,77.18,South,9.98,32.72,16.9,74358,Pakistan,90.54,4202,429
0.83,962,64.79,7.32,1.97,1458,99.69,West,9.01,31.26,34.48,85587,Nigeria,56.26,4422,246
1.26,212,57.53,6.9,3.42,2873,47.36,North,3.05,45.21,37.97,52352,USA,62.04,643,72
1.85,680,56.07,7.57,4.46,2516,38.37,East,3.35,45.36,27.14,76545,China,53.92,4452,283
5.12,683,73.97,6.08,1.58,1480,55.25,East,7.27,6.78,23.59,44411,Ethiopia,79.21,2548,482
9.92,724,42.23,8.42,1.08,615,16.48,South,7.38,7.25,31.21,57186,Indonesia,67.35,4603,194
6.53,97,56.63,8.31,2.97,2769,97.13,West,9.15,38.1,19.83,38150,Bangladesh,25.58,3805,266
0.61,354,90.81,8.34,0.34,2746,83.83,West,7.4,47.84,2.21,93024,Indonesia,30.93,4290,403
5.26,572,81.08,6.91,3.57,2648,11.3,West,4.59,33.33,28.04,35201,Pakistan,35.39,4142,86
4.97,705,33.89,7.33,3.52,2813,94.51,South,6.28,20.57,23.22,85925,Brazil,73.64,1385,245
1.44,874,65.97,8.39,1.77,2223,94.28,West,8.66,34.17,6.06,69015,USA,28.78,2584,157
9.2,806,36.39,8.26,4.46,1886,31.64,East,9.46,11.44,8.52,67382,USA,63.27,1601,356
4.41,259,97.02,7.98,2.51,1038,61.91,North,4.66,49.9,9.23,78028,Ethiopia,87.27,4942,35
9.95,328,47.12,7.02,3.23,2553,11.08,East,6.78,21.55,29.3,68672,Brazil,95.8,4804,235
4.2,734,95.28,7.41,1.05,1131,8.42,East,4.11,46.58,20.73,31427,Mexico,54.26,3317,247
6.08,506,88.38,7.98,2.09,2509,50.18,North,6.48,21.54,1.92,64335,India,62.67,807,459
1.05,298,68.6,6.68,4.31,649,4.97,East,3.63,46.41,33.52,25120,China,86.52,2659,99
4.54,310,53.54,7.57,1.06,1076,87.49,South,9.59,16.78,25.8,846,USA,94.86,114,226
2.39,15,90.06,8.07,1.95,2279,92.81,North,7.47,38.03,29.33,46269,Nigeria,51.19,2727,118
8.36,558,40.69,7.77,1.59,268,6.73,East,8.98,47.55,37.5,20677,USA,48.24,4726,353
7.84,702,42.6,7.2,0.76,282,4.73,Central,9.99,32.3,10.41,16699,Indonesia,56.07,2266,195
8.24,267,45.73,7.46,1.45,969,22.14,East,4.28,33.88,23.58,13434,USA,40.3,4292,87
7.24,627,71.84,8.47,1.16,1010,93.0,South,7.86,5.14,30.41,64521,USA,88.77,4496,35
8.33,231,52.0,7.5,4.62,670,76.9,West,9.21,23.71,20.51,29529,India,45.46,3901,313
2.01,322,99.24,7.96,3.71,2187,67.65,East,7.03,44.34,19.44,71036,India,55.96,2728,27
4.52,357,43.66,7.82,1.58,1227,77.63,West,7.48,12.05,37.15,41519,Bangladesh,45.6,4171,38
6.92,873,86.39,7.75,3.82,2834,19.95,Central,5.85,39.42,9.74,19229,Mexico,29.51,1449,321
6.37,638,36.71,7.79,0.11,1328,25.66,East,7.72,33.79,26.12,81819,Nigeria,68.53,4382,426
7.16,700,54.74,7.14,2.63,2395,31.76,North,5.77,11.15,38.81,69802,USA,67.01,1568,4
2.24,100,47.06,7.19,1.25,321,60.51,West,6.34,14.14,8.8,99251,USA,43.59,1322,475
0.98,944,98.38,7.17,0.57,1731,60.82,Central,3.72,21.38,18.5,31832,China,22.51,860,140
9.17,671,31.8,6.08,4.42,2090,20.86,North,3.05,6.26,39.02,35683,India,94.94,741,227
5.6,856,80.52,6.6,1.0,2754,43.67,North,3.39,45.67,1.43,46109,Nigeria,48.44,1730,8
1.54,180,47.34,6.39,4.11,2133,69.0,North,4.35,36.97,25.19,38416,Ethiopia,63.1,4904,358
7.93,303,86.79,8.22,2.07,888,30.96,North,6.2,18.25,16.18,3535,Bangladesh,31.5,2933,477
9.15,201,51.79,6.69,0.07,1610,7.55,East,3.15,14.98,30.84,68360,Mexico,40.09,3518,56
1.7,558,43.11,6.35,3.66,2198,19.74,East,4.09,34.48,12.93,89172,Brazil,54.82,4509,282
8.17,109,78.51,6.3,2.98,732,16.47,East,8.47,21.21,14.92,97458,Mexico,64.98,4526,444
9.33,815,48.03,7.75,1.72,516,63.19,Central,8.34,11.47,20.63,30574,Indonesia,88.32,3167,460
9.38,848,63.99,6.02,1.41,1993,6.85,Central,8.53,21.51,13.84,87346,USA,43.23,1918,489
9.14,40,39.21,7.18,0.37,348,88.47,Central,9.45,43.56,10.38,61901,Bangladesh,89.74,2218,358
5.46,821,80.72,6.3,4.71,704,8.44,South,3.83,3.43,14.21,25113,Indonesia,56.68,1340,177
3.56,615,58.48,8.12,2.47,2082,59.79,Central,4.14,18.42,36.32,59074,Nigeria,54.61,4639,475
0.07,791,39.84,8.4,0.43,2742,92.95,East,5.33,48.12,13.71,6325,Brazil,51.71,1514,81
0.61,513,81.91,8.4,4.34,1114,6.24,East,9.41,0.74,35.98,41087,India,90.89,1411,417
4.29,107,37.24,7.1,1.39,632,38.31,South,8.43,44.53,8.2,41748,Bangladesh,40.08,3036,84
3.99,61,70.24,7.61,1.02,791,32.79,South,5.27,18.74,26.89,89538,Bangladesh,88.59,4167,64
1.85,484,72.52,7.5,1.4,2511,34.42,Central,3.61,9.48,29.8,88032,USA,27.13,1022,428
3.95,352,95.12,6.88,2.82,2944,60.03,West,7.31,0.75,4.45,41204,Pakistan,96.43,4627,342
1.75,972,40.57,7.11,0.37,800,26.21,South,4.8,3.53,21.76,63188,Bangladesh,60.24,2286,289
8.49,910,75.73,6.16,2.41,2223,2.73,North,6.72,8.59,0.52,14863,China,99.91,2758,355
2.98,819,56.65,7.99,4.48,2652,96.23,East,9.59,1.27,37.13,13489,Brazil,68.63,4672,456
5.99,359,58.06,6.6,0.94,1347,74.88,North,7.01,16.79,20.97,48360,Brazil,29.41,3771,135
5.03,528,65.13,7.15,1.66,463,13.51,East,9.47,2.24,1.47,60225,China,24.87,1112,249
0.52,767,46.36,7.2,1.98,858,45.52,East,5.75,34.61,27.33,38760,Ethiopia,35.47,1945,497
9.42,27,62.28,7.4,2.93,1314,6.27,South,7.43,40.95,35.43,14638,China,53.69,4808,93
5.27,706,78.08,8.04,4.6,2475,2.79,South,9.26,44.37,29.5,39972,China,79.78,1558,47
3.25,239,62.0,7.73,1.97,1195,4.75,North,7.12,27.46,5.35,89888,Brazil,20.06,3879,419
1.58,723,32.98,7.66,0.35,1377,75.58,East,7.3,47.33,21.6,99007,Mexico,40.59,641,99
3.39,565,48.05,7.32,1.74,2619,44.49,North,8.01,0.28,29.32,97657,Brazil,67.01,2237,337
0.21,619,54.6,6.24,0.95,560,84.44,West,9.17,6.7,32.02,22118,Pakistan,43.83,4907,193
3.64,966,54.83,7.01,3.26,2581,30.52,North,3.62,14.66,0.64,91655,USA,48.56,3486,116
5.31,490,35.67,8.39,0.15,1704,77.53,Central,5.36,39.45,11.35,46563,Indonesia,44.06,3225,266
8.72,584,61.47,8.49,1.46,2462,7.79,North,5.78,44.27,35.39,18504,Mexico,96.25,1014,307
6.87,169,78.44,7.83,2.73,1908,63.51,Central,9.37,30.91,10.34,52095,India,25.27,2021,163
1.12,872,33.41,6.57,1.39,1799,36.06,Central,9.69,19.16,18.9,20720,Indonesia,92.6,2676,478
1.48,421,82.56,6.25,2.75,1765,27.67,Central,3.84,33.29,27.87,53383,USA,45.86,1540,286
4.28,397,96.86,7.04,0.57,377,81.51,West,3.83,9.04,39.42,29524,Pakistan,39.72,2936,23
1.96,664,30.65,8.14,4.71,1669,5.19,North,9.54,22.89,17.03,18021,Pakistan,90.66,3106,493
0.28,11,43.56,7.8,1.45,1379,94.95,North,5.07,25.38,20.15,11253,India,42.97,783,404
8.05,901,68.04,8.21,4.62,1254,78.55,West,4.69,5.24,22.35,74773,Mexico,99.0,670,95
0.2,160,45.26,7.54,1.63,1835,35.56,East,3.25,1.69,9.37,45837,Ethiopia,63.85,2769,496
8.31,964,83.52,6.33,3.91,839,99.13,South,4.93,37.51,14.75,91284,China,58.11,2573,253
1.44,544,51.85,6.29,1.23,2614,20.25,North,7.85,26.74,17.38,31825,Mexico,98.12,2584,413
9.75,748,50.55,6.12,3.35,2475,40.24,South,5.98,16.61,0.77,25835,Ethiopia,38.14,4942,120
6.04,356,30.06,7.42,1.62,315,88.49,West,6.62,21.86,0.3,10036,Pakistan,92.72,1277,71
7.35,803,48.91,6.61,2.55,658,99.68,East,9.42,47.89,8.97,31585,Brazil,67.32,3043,352
1.1,762,45.24,7.84,3.37,1524,23.91,East,3.8,19.25,20.49,33787,USA,80.4,3172,370
8.62,427,54.03,7.72,2.94,521,74.31,East,3.5,5.17,38.23,8500,India,66.56,3782,63
8.39,662,40.34,6.8,2.88,1419,30.57,West,8.96,23.18,38.9,86625,USA,69.49,177,242
6.53,177,71.63,6.44,0.33,1639,76.65,Central,8.42,32.4,25.89,81277,Nigeria,32.39,275,126
5.02,637,46.71,6.26,1.25,2672,12.53,Central,4.85,0.61,33.08,28691,Nigeria,32.13,2359,372
7.21,956,88.22,7.84,2.86,382,33.62,South,5.27,16.62,36.03,98342,Mexico,51.77,3481,38
0.06,19,49.92,7.13,0.09,716,7.5,Central,5.17,19.68,33.57,95660,Pakistan,47.71,4886,384
5.92,688,44.76,6.81,1.25,1542,49.19,Central,7.53,23.19,21.75,13467,Pakistan,76.96,3359,352
8.47,611,33.97,8.14,1.15,1483,70.15,East,3.43,15.08,28.17,45074,China,77.82,1424,425
3.57,909,81.79,7.48,1.25,2618,37.86,East,6.43,33.35,0.15,13746,China,65.1,4122,76
1.08,347,65.57,7.3,2.68,2544,61.47,South,3.94,47.24,25.92,72503,China,52.16,2960,469
4.21,876,37.96,7.86,2.91,500,56.91,North,8.74,45.7,17.03,14847,Brazil,74.14,2469,4
7.27,120,45.49,8.04,4.54,2915,29.46,South,5.66,33.22,25.79,67858,Indonesia,74.99,3085,139
1.07,189,99.91,7.72,1.93,1923,48.68,South,6.69,25.34,27.78,84444,Bangladesh,84.73,2372,251
